name,zone,category,top,psf1,psf1_date,psf2,psf2_date,notes,link,psf1_max,psf1_max_date,psf2_max,psf2_max_date,psf1_avg,psf1_avg_date,psf2_avg,psf2_avg_date,psf1_new,psf1_new_date,psf2_new,psf2_new_date,psf1_2018,psf1_2018_date,psf2_2018,psf2_2018_date,psf1_2019,psf1_2019_date,psf2_2019,psf2_2019_date,psf1_2020,psf1_2020_date,psf2_2020,psf2_2020_date,psf1_2021,psf1_2021_date,psf2_2021,psf2_2021_date,psf1_2022,psf1_2022_date,psf2_2022,psf2_2022_date,psf1_2023,psf1_2023_date,psf2_2023,psf2_2023_date
CAVENDISH PARK,,RCR - [D21],,1461,1/7/2022,1417,1/5/2023, ,https://share.ecoprop.com/CAVENDISH-PARK/R065963D,1491,1/12/2021,1600,1/3/2023,1461,no sales,1418,half year,0,NaT,0,NaT,0,no sales,0,no sales,1183,2019,1097,2019,1117,2020,1161,2020,1300,2021,1235,2021,1383,2022,1424,2022,0,no sales,1418,2023
CENTRAL VIEW,,OCR - [D19],,1200,1/5/2023,1060,1/2/2023, ,https://share.ecoprop.com/CENTRAL-VIEW/R065963D,1200,1/5/2023,1078,1/12/2022,1200,half year,1060,half year,0,NaT,0,NaT,0,no sales,868,2018,904,2019,834,2019,0,no sales,807,2020,878,2021,910,2021,0,no sales,993,2022,1200,2023,1060,2023
CENTRO RESIDENCES,,OCR - [D20],,1747,1/3/2023,1718,1/4/2023, ,https://share.ecoprop.com/CENTRO-RESIDENCES/R065963D,1770,1/10/2022,1897,1/2/2023,1722,half year,1738,half year,0,NaT,0,NaT,1451,2018,1468,2018,1455,2019,1482,2019,1433,2020,1437,2020,1502,2021,1487,2021,1621,2022,1666,2022,1722,2023,1738,2023
CHANGI COURT,,OCR - [D16],,1228,1/3/2023,1226,1/4/2023, ,https://share.ecoprop.com/CHANGI-COURT/R065963D,1274,1/12/2021,1286,1/10/2022,1228,half year,1243,half year,0,NaT,0,NaT,1100,2018,1058,2018,1080,2019,1047,2019,1024,2020,1064,2020,1116,2021,1111,2021,1166,2022,1170,2022,1228,2023,1243,2023
CHANGI RISE CONDOMINIUM,,OCR - [D18],,0,no sales,1106,1/5/2023, ,https://share.ecoprop.com/CHANGI-RISE-CONDOMINIUM/R065963D,0,no sales,1133,1/4/2023,0,no sales,1028,half year,0,no sales,0,NaT,0,no sales,834,2018,0,no sales,781,2019,0,no sales,744,2020,0,no sales,795,2021,0,no sales,961,2022,0,no sales,1028,2023
CHANTILLY RISE,,OCR - [D23],,1315,1/11/2022,1318,1/5/2023, ,https://share.ecoprop.com/CHANTILLY-RISE/R065963D,1372,1/10/2022,1318,1/5/2023,1315,no sales,1318,half year,0,NaT,0,NaT,1056,2018,1023,2018,1088,2019,1078,2019,0,no sales,998,2020,1170,2021,1196,2021,1344,2022,1272,2022,0,no sales,1318,2023
CHAPEL LODGE,,RCR - [D15],,0,no sales,1524,1/5/2023, ,https://share.ecoprop.com/CHAPEL-LODGE/R065963D,0,no sales,1524,1/5/2023,0,no sales,1508,half year,0,no sales,0,NaT,0,no sales,1145,2018,0,no sales,1141,2019,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,1508,2023
CHERRYHILL,,OCR - [D19],,0,no sales,1435,1/4/2023, ,https://share.ecoprop.com/CHERRYHILL/R065963D,0,no sales,1435,1/4/2023,0,no sales,1399,half year,0,no sales,0,NaT,0,no sales,1054,2018,0,no sales,1098,2019,0,no sales,1094,2020,0,no sales,1095,2021,0,no sales,1286,2022,0,no sales,1399,2023
CHILTERN PARK,,OCR - [D19],,1281,1/5/2022,1166,1/5/2023, ,https://share.ecoprop.com/CHILTERN-PARK/R065963D,1281,1/2/2023,1345,1/2/2023,1281,no sales,1268,half year,0,NaT,0,NaT,1084,2018,1026,2018,1046,2019,978,2019,1135,2020,981,2020,1143,2021,1095,2021,1256,2022,1210,2022,0,no sales,1268,2023
CITY SQUARE RESIDENCES,,RCR - [D08],,2084,1/5/2023,2035,1/5/2023, ,https://share.ecoprop.com/CITY-SQUARE-RESIDENCES/R065963D,2103,1/11/2021,2035,1/5/2023,1999,half year,1909,half year,0,NaT,0,NaT,0,no sales,0,no sales,1611,2019,1448,2019,1754,2020,1531,2020,1764,2021,1628,2021,1892,2022,1936,2022,1999,2023,1909,2023
